,VLM2 -    9.5°-32.45m/s, , 
    -18.80785,   0.005625807, , 
    -18.61755,   0.005022518, , 
    -18.42725,   0.004392542, , 
    -18.23695,   0.003743664, , 
    -18.04665,   0.003084599, , 
    -17.85635,   0.002421247, , 
    -17.66605,   0.001759821, , 
    -17.47575,   0.001103924, , 
    -17.28545,  0.0004579089, , 
    -17.09515, -0.0001824369, , 
     -16.9703,   -0.01037997, , 
     -16.9109,   -0.01568968, , 
     -16.8515,    -0.0209596, , 
     -16.7921,   -0.02625346, , 
     -16.7327,   -0.03149697, , 
    -16.69586,    -0.1734339, , 
     -16.6674,    -0.2041771, , 
    -16.61099,     -0.235716, , 
    -16.52757,    -0.2684176, , 
    -16.41858,    -0.2999048, , 
    -16.28588,    -0.3271617, , 
    -16.13175,    -0.3470919, , 
    -15.95882,    -0.3564753, , 
    -15.77004,    -0.3514699, , 
    -15.56865,    -0.3263779, , 
     -15.3581,    -0.2701566, , 
    -15.14199,     -0.153391, , 
    -14.82601,     0.1991347, , 
    -14.05351,     0.2417324, , 
     -12.7155,     0.1323908, , 
    -10.19399,    -0.4067801, , 
    -4.222488,     0.4140545, , 
     4.222488,     0.4192822, , 
     10.19399,    -0.4770028, , 
      12.7155,     -1.549147, , 
     14.05351,     -1.835801, , 
     14.82601,     -1.516355, , 
     15.14199,    -0.5157252, , 
      15.3581,    -0.8339537, , 
     15.56865,    -0.9050827, , 
     15.77004,    -0.9094312, , 
     15.95882,    -0.8889694, , 
     16.13175,    -0.8566291, , 
     16.28588,    -0.8176878, , 
     16.41858,    -0.7750101, , 
     16.52757,    -0.7308415, , 
     16.61099,    -0.6872893, , 
      16.6674,    -0.6458343, , 
     16.69586,    -0.6050423, , 
      16.7327,   -0.04903922, , 
      16.7921,    -0.0433753, , 
      16.8515,   -0.03772922, , 
      16.9109,   -0.03212793, , 
      16.9703,   -0.02645911, , 
     17.09515, -0.0002062391, , 
     17.28545,  0.0004968876, , 
     17.47575,   0.001158658, , 
     17.66605,   0.001798552, , 
     17.85635,   0.002427978, , 
     18.04665,    0.00305188, , 
     18.23695,   0.003675651, , 
     18.42725,   0.004304891, , 
     18.61755,   0.004938265, , 
     18.80785,    0.00557337, , 

