xflr5 v6.61

AHAPS_Roll
T1-32.5 m/s-LLT
QInf  =   32.455000 m/s
Alpha =    9.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.839041
Cy    =    0.000000
Cd    =    0.027260     ICd   =    0.013744     PCd   =    0.013516
Cl   =  -0.0400598
Cm   =   -0.167082
ICn   =    0.001930     PCn   =    0.001877 
XCP   =    2.589741     YCP   =    1.805038     ZCP   =    0.000000  
XNP   =    0.000000
Bending = 16108.663967

Main WingFlap    1 moment =    0.0000 N.m
Flap    2 moment =    0.0000 N.m

  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -18.8570     1.6700    -3.417    0.100212    0.006073    0.005977   -0.168888    0.002560     0.6645    0.8484    0.2197    0.0000
  -18.7190     1.6700    -2.600    0.186177    0.006437    0.008447   -0.321197    0.004760     0.5747    0.9058    0.2195    0.1375
  -18.4899     1.6700    -1.954    0.255190    0.006886    0.008702   -0.440649    0.006185     0.5007    0.9402    0.2207    1.2127
  -18.1707     1.6700    -1.478    0.310651    0.007305    0.008012   -0.531280    0.006108     0.4430    0.9585    0.2251    5.1262
  -17.7630     1.6700    -1.140    0.354318    0.007658    0.007050   -0.594437    0.004989     0.3991    0.9676    0.2306   15.1047
  -17.2687     1.6700    -0.879    0.390957    0.007939    0.005999   -0.637443    0.003439     0.3650    0.9729    0.2358   35.7443
  -16.6904     1.6700    -0.638    0.421275    0.008993    0.004689   -0.628109    0.031330     0.3117    0.9110    0.1672   73.0158
  -16.0307     1.6700    -1.124    0.467329    0.009238    0.009166   -0.650265    0.031850     0.3002    0.9200    0.1731   134.1371
  -15.2928     1.6700    -2.075    0.475285    0.009247    0.017210   -0.605617    0.031906     0.2996    0.9215    0.1741   228.5556
  -14.4805     1.6700     2.043    0.314885    0.029458   -0.011228   -0.232258    0.149085     0.2281    0.8794   -0.2548   364.8767
  -13.5977     1.6700     1.774    0.302715    0.029502   -0.009373   -0.174280    0.149442     0.2324    0.8797   -0.2767   538.5249
  -12.6486     1.6700     2.442    0.394811    0.028872   -0.016825   -0.213750    0.148333     0.2208    0.8779   -0.1545   753.6700
  -11.6378     1.6700    -2.202    0.723766    0.010537    0.027812   -0.513122    0.033273     0.2482    0.9691    0.1934   1025.0817
  -10.5704     1.6700    -1.392    0.837117    0.011448    0.020338   -0.460257    0.028345     0.2191    0.9772    0.2048   1398.5527
   -9.4515     1.6700    -1.084    0.884345    0.011677    0.016728   -0.331258    0.026150     0.2149    0.9805    0.2087   1900.8017
   -8.2865     1.6700    -0.870    0.916376    0.011830    0.013915   -0.174087    0.024984     0.2120    0.9835    0.2108   2550.9788
   -7.0812     1.6700    -0.750    0.936014    0.011940    0.012257    0.001929    0.024253     0.2096    0.9851    0.2119   3365.2881
   -5.8413     1.6700    -0.661    0.952011    0.012038    0.010981    0.190268    0.023596     0.2074    0.9862    0.2129   4356.3785
   -4.5730     1.6700    -0.608    0.963453    0.012113    0.010224    0.387803    0.023075     0.2058    0.9868    0.2137   5534.0094
   -3.2825     1.6700    -0.568    0.973576    0.012187    0.009649    0.592694    0.022542     0.2041    0.9872    0.2144   6904.4112
   -1.9759     1.6700    -0.547    0.980978    0.012241    0.009371    0.802282    0.022152     0.2029    0.9876    0.2149   8470.4738
   -0.6597     1.6700    -0.535    0.987180    0.012287    0.009225    1.015354    0.021826     0.2019    0.9878    0.2153   10231.2286
    0.6597     1.6700    -0.520    0.989422    0.012303    0.008973    1.017492    0.021708     0.2015    0.9879    0.2155   16108.6640
    1.9759     1.6700    -0.488    0.989371    0.012303    0.008428    0.808514    0.021710     0.2015    0.9879    0.2155   13727.7568
